Line 15, column 11: Operator strconv.Atoi cannot be applied to types float32, float32
Line 16, column 11: Operator strconv.Atoi cannot be applied to types float32, int
Line 17, column 11: Operator strconv.Atoi cannot be applied to types int, float32
Line 29, column 11: Operator + cannot be applied to types int, float32
Line 29, column 7: Operator = cannot be applied to types int, undef
Line 30, column 11: Operator + cannot be applied to types float32, int
Line 30, column 7: Operator = cannot be applied to types int, undef
Line 31, column 7: Operator = cannot be applied to types int, float32
Line 32, column 11: Operator + cannot be applied to types bool, bool
Line 32, column 7: Operator = cannot be applied to types int, undef
Line 33, column 11: Operator + cannot be applied to types bool, bool
Line 33, column 7: Operator = cannot be applied to types bool, undef
Line 36, column 11: Operator > cannot be applied to types bool, bool
Line 37, column 11: Operator <= cannot be applied to types bool, bool
Line 43, column 7: Operator = cannot be applied to types int, string
